sensor_id , event_id
70066 , 2580
100315 , 1683
60861 , 1393
70308 , 2580
70064 , 2580
60865 , 1393
60283 , 1683
60870 , 1393
70062 , 2580
60872 , 1393
70061 , 2580
50944 , 2580
50943 , 2580
50941 , 2580
50939 , 2580
60877 , 1683
70056 , 2580
60879 , 1683
100313 , 1683
70055 , 2580
60881 , 1683
70050 , 2580
70309 , 2580
60883 , 1683
140420 , 1891
140421 , 1891
140423 , 1891
140424 , 1891
70047 , 2580
140430 , 1891
140432 , 1891
60884 , 1683
140434 , 1891
60885 , 1683
100310 , 1683
80339 , 3084
70044 , 2580
70043 , 2580
60888 , 1683
70042 , 2580
60890 , 1683
70040 , 2580
100309 , 1683
11113 , 1262
70038 , 2580
70313 , 2580
100307 , 1683
71005 , 2580
100301 , 1683
80826 , 1891
80829 , 1891
80832 , 2580
80834 , 2580
111730 , 1262
70913 , 2580
100285 , 1683
172225 , 1497
70909 , 2580
80713 , 2580
111964 , 1891
100471 , 1683
172222 , 1497
100473 , 1683
172060 , 1497
100103 , 1683
111858 , 1262
130520 , 1891
172219 , 1497
130516 , 1891
80711 , 2580
111870 , 1262
111963 , 1891
172217 , 1497
130511 , 1891
172057 , 1497
80708 , 2580
80982 , 2580
80706 , 2580
70322 , 2580
80980 , 2580
60702 , 1683
70874 , 1891
80430 , 2580
71242 , 2580
70871 , 1891
100288 , 1683
172211 , 1497
111659 , 1891
172209 , 1497
50287 , 1891
50289 , 1891
60701 , 1683
50290 , 1891
70859 , 465
50292 , 1891
21532 , 1891
80968 , 1496
70858 , 465
62423 , 1683
80697 , 2580
172055 , 1497
172207 , 1497
172204 , 1497
62425 , 1683
172201 , 1497
80695 , 2580
90633 , 1547
80694 , 2580
70078 , 2580
60270 , 1683
100289 , 1683
172198 , 1497
172002 , 1497
60958 , 1683
70848 , 2580
70847 , 2580
80690 , 2580
21530 , 1891
172023 , 1497
60700 , 1683
60957 , 1683
172054 , 1497
90808 , 1547
90813 , 1547
21528 , 1891
60955 , 1683
90816 , 1547
70320 , 2580
80436 , 2580
80935 , 1891
80934 , 1891
20523 , 1891
62437 , 2580
90827 , 1547
60950 , 1683
60698 , 1683
62438 , 2580
10053 , 1891
21525 , 1891
90832 , 1547
90835 , 1547
100291 , 1683
130766 , 1891
70080 , 2580
130768 , 1891
172184 , 1497
172183 , 1497
70509 , 2580
21523 , 1891
121102 , 2580
70792 , 1891
121104 , 2580
172180 , 1497
70791 , 1891
130782 , 1891
121105 , 2580
130784 , 1891
140787 , 1891
121108 , 2580
172178 , 1497
121109 , 2580
121111 , 2580
100293 , 1683
70319 , 2580
21522 , 1891
121113 , 2580
121116 , 2580
121117 , 2580
121118 , 2580
121119 , 2580
172007 , 1497
121120 , 2580
121122 , 2580
70293 , 2580
21432 , 1891
172052 , 1497
60272 , 1683
130813 , 1891
90840 , 1547
130814 , 1891
21520 , 1891
100296 , 1683
70306 , 2580
172167 , 1497
172165 , 1497
172049 , 1497
52109 , 1891
11116 , 1262
90853 , 1547
21517 , 1891
80356 , 1891
20892 , 1262
172004 , 1497
121158 , 1683
121160 , 1683
121162 , 1683
80598 , 3084
121163 , 1683
70086 , 2580
70008 , 2580
121164 , 1683
140682 , 1891
121166 , 1683
60837 , 1683
140679 , 1891
70317 , 2580
100298 , 1683
172047 , 1497
21515 , 1891
172159 , 1497
101469 , 1683
101467 , 1683
60743 , 1393
21513 , 1891
172157 , 1497
140658 , 1891
61630 , 1393
172154 , 1497
130890 , 1891
140655 , 1891
130891 , 1891
21512 , 1891
52108 , 1891
60835 , 1683
60746 , 1393
172150 , 1497
50595 , 3010
50597 , 3010
111716 , 1262
50599 , 3010
50600 , 3010
172149 , 1497
70088 , 2580
12438 , 1891
11119 , 1262
21510 , 1891
12441 , 1891
20522 , 1891
101425 , 1683
50620 , 3010
101423 , 1683
12456 , 1891
50624 , 3010
172044 , 1497
10030 , 1891
12457 , 1891
50626 , 3010
172147 , 1497
50629 , 3010
12458 , 1891
12459 , 1891
71206 , 1496
172144 , 1497
80844 , 2580
50642 , 3084
50643 , 3084
80842 , 2580
50646 , 3084
172143 , 1497
50648 , 3084
70315 , 2580
172139 , 1497
21507 , 1891
111855 , 1262
111926 , 1262
151845 , 1683
151851 , 1683
151853 , 1683
60833 , 1683
151856 , 1683
10991 , 1891
10974 , 1891
10993 , 1891
10972 , 1891
151866 , 1683
111864 , 1262
151868 , 1683
61629 , 1393
60393 , 1547
172136 , 1497
70090 , 2580
110934 , 1891
170951 , 1262
111920 , 1262
151746 , 1683
151744 , 1683
151742 , 1683
151740 , 1683
81559 , 2580
172132 , 1497
11602 , 1891
60399 , 1547
11604 , 1891
111496 , 1262
70295 , 2580
81562 , 2580
81563 , 2580
110935 , 1891
130969 , 1891
151701 , 1683
151699 , 1683
21505 , 1891
130972 , 1891
80358 , 1891
20616 , 1891
40870 , 2580
40872 , 2580
11111 , 1262
81556 , 2580
11648 , 1891
11649 , 1891
20116 , 1262
172131 , 1497
20113 , 1262
81581 , 1496
110100 , 1891
111711 , 1262
110102 , 1891
172041 , 1497
40978 , 2580
40981 , 2580
172127 , 1497
61409 , 2580
11716 , 3084
40983 , 2580
11720 , 3084
11747 , 1891
81529 , 2580
11750 , 1891
41000 , 2580
152005 , 1683
110196 , 1891
152008 , 1683
61410 , 2580
152010 , 1683
110199 , 1891
81524 , 2580
152011 , 1683
70618 , 2580
81520 , 2580
151505 , 1497
20662 , 1262
81518 , 612
151504 , 1497
151503 , 1497
