link_id , on_street , longitude , latitude
822249 , 15 , -115.621396 , 35.462533
716449 , I-105 , -118.194663 , 33.917989
716448 , I-105 , -118.202133 , 33.921618
716443 , I-105 , -118.217154 , 33.928278
1204731 , 5 , -117.742947 , 33.654721
822250 , 15 , -115.621563 , 35.462825
716442 , I-105 , -118.2173 , 33.927952
772208 , SR-101 , -118.63756 , 34.159255
716441 , I-105 , -118.230055 , 33.928433
827131 , 215 , -117.400225 , 34.220799
827133 , 215 , -117.399963 , 34.22103
822257 , 15 , -115.582135 , 35.474266
716440 , I-105 , -118.230054 , 33.928116
826110 , 210 , -117.325409 , 34.13852
716437 , I-105 , -118.246044 , 33.928864
812811 , 71 , -117.688508 , 33.966148
1202614 , 22 , -118.010491 , 33.774524
822258 , 15 , -115.582169 , 35.474852
716434 , I-105 , -118.262267 , 33.92777
716433 , I-105 , -118.26225 , 33.927455
716431 , I-105 , -118.265348 , 33.927433
822266 , 15 , -115.539256 , 35.469149
716428 , I-105 , -118.27393 , 33.9284
716427 , I-105 , -118.27389 , 33.927833
812800 , 71 , -117.689035 , 33.96768
822267 , 15 , -115.539246 , 35.469484
716426 , I-105 , -118.285521 , 33.928937
774031 , SR-134 , -118.181687 , 34.141345
716424 , I-105 , -118.29385 , 33.928389
822272 , 15 , -115.491188 , 35.466877
716422 , I-105 , -118.300423 , 33.92758
826880 , 10 , -116.503978 , 33.879744
716421 , I-105 , -118.300437 , 33.927104
1204577 , 5 , -117.691187 , 33.604834
716420 , I-105 , -118.313567 , 33.925722
812788 , 71 , -117.690386 , 33.967959
826124 , 71 , -117.724038 , 34.000686
1202610 , 22 , -118.010506 , 33.77469
822356 , 215 , -117.181037 , 33.554035
716419 , I-105 , -118.31356 , 33.92522
716414 , I-105 , -118.335256 , 33.924817
822370 , 91 , -117.616141 , 33.880866
716413 , I-105 , -118.338258 , 33.926832
716409 , I-105 , -118.361416 , 33.931789
822391 , 215 , -117.181 , 33.556891
716407 , I-105 , -118.370317 , 33.930591
812776 , 71 , -117.691328 , 33.969849
716405 , I-105 , -118.384154 , 33.931388
716404 , I-105 , -118.388362 , 33.931444
822400 , 215 , -117.180575 , 33.558493
716402 , I-105 , -118.392283 , 33.931589
826892 , 10 , -116.501189 , 33.877315
716392 , SR-101 , -118.697433 , 34.148756
1201159 , 405 , -117.779954 , 33.659158
822409 , 215 , -117.180528 , 33.555644
716391 , SR-101 , -118.688257 , 34.150488
1202599 , 22 , -118.020815 , 33.774387
716390 , SR-101 , -118.669244 , 34.149219
812744 , 71 , -117.679059 , 33.954684
822504 , 10 , -117.215028 , 34.06643
716359 , SR-101 , -118.364326 , 34.138959
716339 , SR-101 , -118.28795 , 34.078212
822589 , 91 , -117.495953 , 33.896359
716337 , SR-101 , -118.281856 , 34.077323
716331 , SR-101 , -118.262465 , 34.07006
822607 , 10 , -116.900343 , 33.924035
716328 , SR-101 , -118.253967 , 34.066637
716314 , SR-91 , -118.105616 , 33.876479
812730 , 71 , -117.66157 , 33.933313
822608 , 10 , -116.900339 , 33.924303
716313 , SR-91 , -118.105615 , 33.876338
716312 , SR-91 , -118.115063 , 33.876484
822618 , 10 , -116.876651 , 33.923965
716311 , SR-91 , -118.115063 , 33.876728
826139 , 15 , -117.549011 , 33.96809
1202595 , 22 , -118.020823 , 33.774231
716296 , SR-91 , -118.17724 , 33.876768
773773 , I-605 , -117.997776 , 34.08166
822619 , 10 , -116.876647 , 33.924263
716295 , SR-91 , -118.177241 , 33.877038
1204586 , 5 , -117.692841 , 33.606104
716273 , SR-91 , -118.281692 , 33.872641
812717 , 71 , -117.658948 , 33.92919
822656 , 10 , -115.946932 , 33.67541
716272 , SR-91 , -118.289626 , 33.872658
716271 , SR-71 , -117.801473 , 34.066136
822657 , 10 , -115.946906 , 33.675703
716265 , SR-60 , -117.855051 , 33.998655
716254 , SR-60 , -117.920604 , 33.995505
822663 , 10 , -115.905441 , 33.66828
716253 , SR-60 , -117.920573 , 33.995685
716241 , SR-60 , -117.979761 , 34.011945
772340 , SR-101 , -118.759416 , 34.145966
716238 , SR-60 , -118.022212 , 34.031922
716237 , SR-60 , -118.022365 , 34.031631
1202590 , 22 , -118.035198 , 33.774297
822670 , 10 , -115.843271 , 33.662249
716235 , SR-60 , -118.028216 , 34.034379
716213 , SR-60 , -118.171295 , 34.035292
716206 , SR-60 , -118.216998 , 34.029701
822677 , 10 , -115.807443 , 33.660518
716203 , SR-57 , -117.804719 , 34.05987
716193 , I-10 , -117.728296 , 34.081702
774012 , SR-134 , -118.201366 , 34.147688
772354 , SR-101 , -118.647086 , 34.15566
716187 , I-10 , -117.768385 , 34.071509
716181 , I-10 , -117.803305 , 34.066551
826150 , 10 , -117.581252 , 34.067734
822684 , 10 , -115.759491 , 33.659877
716176 , I-10 , -117.822444 , 34.063875
1202574 , 22 , -118.038234 , 33.774687
716174 , I-10 , -117.830783 , 34.066039
716172 , I-10 , -117.835449 , 34.067736
822691 , 10 , -115.711306 , 33.661667
716153 , I-10 , -117.916555 , 34.072328
716152 , I-10 , -117.916556 , 34.072118
